iter	LogLikelihoodOfPrediction	Logloss
525	0.8752450092	0.2647154809
526	0.8752451228	0.2647153716
527	0.8752457537	0.2647152623
528	0.8752463308	0.2647151803
529	0.8752515648	0.2647146336
530	0.8752532048	0.2647144696
531	0.8752565884	0.264714005
532	0.8752591055	0.2647138136
533	0.8752701998	0.2647124197
534	0.8752703213	0.264712283
535	0.8752708461	0.2647122283
536	0.8752789978	0.2647111897
537	0.8752791117	0.2647111897
538	0.8752900609	0.2647099324
539	0.8753322293	0.2647046299
540	0.8753327952	0.2647047392
541	0.8753355172	0.2647042472
542	0.8754004211	0.2646963481
543	0.8754005221	0.2646962388
544	0.8754076089	0.2646953915
545	0.8754093795	0.2646952548
546	0.8754111674	0.2646950908
547	0.8754112443	0.2646949541
548	0.8754478472	0.2646904716
549	0.8754513728	0.2646901163
550	0.875451924	0.2646901709
551	0.8754538674	0.2646899523
552	0.8754571414	0.264689433
553	0.8754572494	0.2646894876
554	0.8754577194	0.2646893783
555	0.8754591277	0.2646891596
556	0.8754592188	0.2646890776
557	0.8754596681	0.264689023
558	0.8754629602	0.264688695
559	0.8755002909	0.2646841031
560	0.8755003675	0.2646841851
561	0.8755004488	0.2646841304
562	0.8755051718	0.2646835018
563	0.8755205824	0.2646816978
564	0.8755221215	0.2646815885
565	0.8755222069	0.2646815065
566	0.8755222977	0.2646815065
567	0.8755833854	0.2646740174
568	0.8755902285	0.2646730881
569	0.87559062	0.2646730607
570	0.8756398774	0.2646670202
571	0.8756429648	0.2646666922
572	0.8756434197	0.2646665009
573	0.8756457513	0.2646663369
574	0.8756479771	0.2646658723
575	0.8756484001	0.2646659543
576	0.8756495355	0.2646657356
577	0.8756495659	0.2646657083
578	0.8756887468	0.2646609524
579	0.8756891276	0.2646610071
580	0.8757735246	0.2646506754
581	0.8758479554	0.2646415189
582	0.8759034181	0.2646347131
583	0.8759309514	0.2646312692
584	0.8759461827	0.2646294653
585	0.8759524292	0.2646286453
586	0.875956626	0.2646281806
587	0.876019627	0.2646204455
588	0.8760196444	0.2646204455
589	0.8760201365	0.2646204182
590	0.8761455345	0.2646050299
591	0.8761484397	0.26460462
592	0.8762137503	0.2645967208
593	0.8762403712	0.2645933863
594	0.8762461294	0.2645927029
595	0.8762461706	0.2645927029
596	0.876280729	0.2645885484
597	0.8763236524	0.2645833825
598	0.8763419703	0.2645808953
599	0.8763523117	0.264579638
600	0.8764050037	0.2645734335
601	0.8764431075	0.2645687049
